Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-12-30,57.27626649010829,57.30356059102938,56.430222238365815,56.53029251098633,25579900,0.0,0
2017-01-03,57.121621515924524,57.167107062250594,56.52120328157601,56.930580139160156,20694100,0.0,0
2017-01-04,56.8395968176545,57.08522289435597,56.512095382052536,56.675846099853516,21340000,0.0,0
2017-01-05,56.575775831161344,57.00334753545548,56.430220023152046,56.675846099853516,24876000,0.0,0
2017-01-06,56.675835493462266,57.44910339843967,56.43930865108268,57.16708755493164,19922900,0.0,0
2017-01-09,57.09431536575994,57.385430435539995,56.8941783100864,56.98514938354492,20382700,0.0,0
2017-01-10,57.06701971708531,57.37632619808538,56.657642981890554,56.966949462890625,18593000,0.0,0
2017-01-11,56.957869393895436,57.52189778939761,56.794118654826306,57.48550796508789,21517300,0.0,0
2017-01-12,57.367243496787026,57.676550047971396,56.35744847761675,56.95786666870117,20968200,0.0,0
2017-01-13,56.966958061807304,57.19438923009818,56.721331983614256,57.039737701416016,19422300,0.0,0
2017-01-17,57.021538509031444,57.03973341756713,56.4302161277555,56.88507843017578,20664000,0.0,0
2017-01-18,57.01243960377574,57.039733701877296,56.512091762684285,56.8577880859375,19670100,0.0,0
2017-01-19,56.62126484080266,57.29445915147407,56.58487502121929,56.675846099853516,18451700,0.0,0
2017-01-20,57.01244980128223,57.14890990522595,56.7395330637194,57.076133728027344,30213500,0.0,0
2017-01-23,57.03973350529677,57.42181617416196,56.921468334794895,57.27626037597656,23097600,0.0,0
2017-01-24,57.494601570256144,57.985853739734345,57.258071205548426,57.78571319580078,24672900,0.0,0
2017-01-25,58.17689285997781,58.313349477156045,57.72203052873533,57.93126678466797,23672700,0.0,0
2017-01-26,58.33154155782321,58.71362420904938,57.812995363507426,58.467994689941406,43554600,0.0,0
2017-01-27,59.4868979833096,59.959958717298015,59.03203563020851,59.84169006347656,44818000,0.0,0
2017-01-30,59.75982060146509,59.85079168765476,58.95016613527376,59.250370025634766,31651400,0.0,0
2017-01-31,59.00474297851982,59.26856396716001,58.458909561623905,58.81370162963867,25270500,0.0,0
2017-02-01,58.549885711148114,58.78641609052322,57.74023123549968,57.840301513671875,39671500,0.0,0
2017-02-02,57.54009150623842,57.68564733012896,57.08522912278989,57.46731185913086,45827000,0.0,0
2017-02-03,57.767516067794745,57.94946169435657,57.37633418530027,57.93126678466797,30301800,0.0,0
2017-02-06,57.767521293132035,57.90398139297789,57.44001982976157,57.89488220214844,19796400,0.0,0
2017-02-07,57.985861923096486,58.022248278681424,57.521900318559304,57.7038459777832,20277200,0.0,0
2017-02-08,57.83119594012643,58.04953138388926,57.51279369955995,57.6219596862793,18096400,0.0,0
2017-02-09,57.78572114295363,58.62266978424157,57.60377548438454,58.27696990966797,22644400,0.0,0
2017-02-10,58.44981276988983,58.49530178176792,58.204186681110514,58.222381591796875,18170700,0.0,0
2017-02-13,58.44071705866705,59.0047489125509,58.34064677909654,58.87738800048828,22920100,0.0,0
2017-02-14,58.950607325752486,59.234329469978235,58.59365732844307,59.097042083740234,23108400,0.39,0
2017-02-15,59.03296872716679,59.09703523562368,58.721790538297824,59.0604248046875,17005200,0.0,0
2017-02-16,59.25263106230838,59.7102510269166,58.97806327317936,59.05127716064453,20546300,0.0,0
2017-02-17,59.00551200860367,59.206865885202276,58.849922915859516,59.142799377441406,21248800,0.0,0
